id,latitude,longitude,price,availability_30,availability_60,availability_90,availability_365
13524465,51.53284,-0.09654,$70.00 ,0,0,0,0
13524632,51.37725,0.10097,$80.00 ,29,59,89,89
13575268,51.55387,-0.04274,$149.00 ,0,0,0,0
13524668,51.50216,-0.2511,$70.00 ,0,0,0,0
13498255,51.50042,-0.11753,$80.00 ,0,0,0,0
13580336,51.36908,-0.12802,$20.00 ,0,0,0,0
13499416,51.55619,-0.28932,$31.00 ,6,25,38,121
13581119,51.57092,-0.10899,$245.00 ,0,0,0,0
13499733,51.49434,-0.11446,$37.00 ,26,56,86,361
13525827,51.60357,-0.13467,$110.00 ,0,0,0,0
13582704,51.52301,-0.07022,$65.00 ,0,0,0,0
13500108,51.53185,-0.22089,$75.00 ,18,48,78,78
13582733,51.49889,-0.19759,$280.00 ,0,0,0,186
13500207,51.52921,-0.22213,$300.00 ,0,0,0,0
13526521,51.53484,-0.19319,$21.00 ,0,0,0,0
13527279,51.48902,-0.20688,$100.00 ,0,0,0,0
13583959,51.43743,-0.15872,$80.00 ,0,0,0,0
13501065,51.51821,-0.14057,$95.00 ,0,0,0,0
13584552,51.41703,-0.18747,$95.00 ,0,0,0,0
13501585,51.55609,-0.10375,$110.00 ,0,0,0,0
13528000,51.6253,-0.29829,$50.00 ,0,0,0,0
13584735,51.52777,-0.18821,$39.00 ,0,0,0,0
13528650,51.51153,-0.19822,$99.00 ,0,0,0,0
13585668,51.44931,-0.11133,$56.00 ,0,0,0,0
13529798,51.4918,-0.37042,$24.00 ,0,0,0,0
13501808,51.4676,-0.15918,$95.00 ,9,36,66,330
13586870,51.4464,-0.18664,$45.00 ,0,0,0,0
13530068,51.52302,-0.20832,$86.00 ,0,0,0,0
13530576,51.4053,-0.23789,$40.00 ,0,0,0,0
13502611,51.44344,-0.20096,$150.00 ,0,0,0,0
13587097,51.43978,-0.21847,$96.00 ,5,35,65,153
13531261,51.52387,-0.12393,$35.00 ,0,0,0,0
13533628,51.4549,-0.30873,$171.00 ,23,53,83,83
13587367,51.52608,-0.09112,$32.00 ,0,0,0,0
13587755,51.46307,-0.21958,$79.00 ,0,0,0,0
13503877,51.48442,0.00136,$80.00 ,0,1,7,136
13587775,51.45464,0.13405,$70.00 ,0,0,0,0
13504236,51.43373,-0.16288,$15.00 ,0,0,0,0
13534710,51.39213,0.11481,$41.00 ,0,0,0,0
13534867,51.52661,-0.05765,$44.00 ,8,8,20,110
13588167,51.53429,-0.21929,$50.00 ,0,0,0,0
13588230,51.53486,-0.07754,$133.00 ,0,0,0,0
13535637,51.57139,0.10256,$37.00 ,0,0,0,0
13504645,51.56435,0.00004,$85.00 ,0,0,0,0
13588547,51.52128,-0.19361,$49.00 ,0,0,0,0
13535650,51.52173,-0.11509,$201.00 ,0,0,0,0
13589068,51.47595,-0.17447,$70.00 ,0,0,0,0
13535743,51.5299,-0.20035,$50.00 ,0,0,0,0
13536200,51.47154,-0.16284,$300.00 ,0,0,0,0
13508623,51.5126,-0.27442,$29.00 ,0,0,0,0
13508711,51.45635,-0.14431,$192.00 ,6,24,52,130
13589671,51.48097,-0.44539,$23.00 ,0,0,0,0
13508761,51.51175,-0.06159,$22.00 ,0,0,0,0
13536722,51.54072,-0.19276,$90.00 ,0,0,0,0
13536818,51.47189,-0.03333,$80.00 ,0,0,0,0
13536896,51.5228,-0.15538,$100.00 ,0,0,0,0
13590034,51.43969,-0.20295,$140.00 ,0,0,0,0
13537141,51.47485,-0.20318,$69.00 ,13,36,41,41
13537263,51.45825,-0.10964,$79.00 ,0,0,0,0
13537469,51.52661,-0.03617,$37.00 ,27,54,84,356
13538017,51.41082,-0.20722,$95.00 ,0,0,0,0
13508819,51.58904,-0.14091,$60.00 ,28,58,88,88
13508917,51.51242,-0.2744,$25.00 ,0,0,0,0
13510176,51.54155,0.00771,$35.00 ,0,0,0,0
13590209,51.49253,-0.26081,$45.00 ,8,14,14,14
13593300,51.49758,-0.04905,$90.00 ,0,0,0,0
13510388,51.50803,-0.05864,$80.00 ,0,0,0,0
13539199,51.57408,-0.2339,$50.00 ,9,39,69,344
13539466,51.47225,-0.15443,$26.00 ,0,0,0,0
13594306,51.53803,-0.19747,$110.00 ,0,0,0,0
13540213,51.45541,-0.31352,$300.00 ,6,6,6,6
13510946,51.52902,-0.20386,$60.00 ,0,0,0,0
13594409,51.59216,-0.01824,$20.00 ,0,0,0,0
13511186,51.45737,-0.01383,$35.00 ,0,0,0,0
13541533,51.54779,-0.23169,$200.00 ,27,57,87,87
13594720,51.54075,-0.14055,$164.00 ,0,0,0,0
13541991,51.51482,-0.20973,$204.00 ,5,5,5,47
13542023,51.52224,-0.07206,$40.00 ,0,0,0,0
13542475,51.45298,-0.14111,$30.00 ,0,0,0,0
13511992,51.425,-0.22742,$180.00 ,0,0,0,0
13512087,51.52145,-0.03143,$48.00 ,0,0,0,0
13594947,51.47401,-0.18434,$100.00 ,0,0,0,0
13512606,51.55541,-0.22867,$35.00 ,5,11,15,226
13542930,51.42552,-0.17027,$60.00 ,0,0,0,0
13595931,51.52292,-0.0763,$41.00 ,0,0,0,0
13543202,51.53355,-0.13762,$80.00 ,0,0,0,0
13512792,51.57065,0.01277,$18.00 ,0,0,0,0
13596007,51.49118,-0.20953,$55.00 ,0,0,0,0
13512960,51.55553,-0.12861,$185.00 ,0,0,0,0
13543534,51.53615,-0.06753,$105.00 ,0,0,20,295
13596451,51.43706,-0.05122,$190.00 ,0,0,0,0
13543572,51.54825,-0.14234,$178.00 ,0,0,0,0
13544975,51.53975,-0.05523,$100.00 ,0,0,0,0
13514090,51.54572,-0.14881,$38.00 ,0,0,0,0
13596689,51.49192,-0.00523,$99.00 ,0,0,0,0
13515598,51.49148,-0.03767,$94.00 ,29,59,89,364
13517583,51.44173,-0.10421,$70.00 ,0,0,0,0
13518362,51.51209,-0.1847,$75.00 ,0,0,0,0
13518803,51.47832,0.01173,$48.00 ,1,1,15,102
13545040,51.61665,-0.10513,$16.00 ,0,0,2,73
13545597,51.46576,-0.06192,$100.00 ,0,0,0,0
13545813,51.57804,0.08399,$79.00 ,30,60,90,365
13546081,51.43724,-0.3222,$226.00 ,0,0,0,0
13546088,51.52431,-0.07391,$213.00 ,25,38,38,38
13546177,51.514,-0.232,$55.00 ,0,0,0,0
13597883,51.53784,-0.07377,$115.00 ,0,0,0,0
13546778,51.46552,0.00379,$130.00 ,0,0,0,0
13546915,51.48364,-0.19284,$83.00 ,0,0,0,0
13632204,51.51638,-0.21422,$35.00 ,0,0,0,0
13632770,51.46414,-0.15538,$150.00 ,0,0,0,0
13597954,51.50033188,0.036757,$74.00 ,8,26,26,26
13633183,51.54516,-0.21918,$45.00 ,0,0,0,0
13633842,51.4594,-0.05352,$25.00 ,0,0,0,0
13546977,51.44664,-0.19825,$88.00 ,0,0,0,0
13547423,51.51726,-0.28063,$52.00 ,24,54,84,359
13598348,51.41451,-0.08614,$80.00 ,0,0,0,0
13547776,51.52513,-0.07311,$40.00 ,0,0,0,0
13633942,51.51359,-0.04987,$35.00 ,0,0,0,0
13598486,51.56595,0.13219,$70.00 ,0,0,0,0
13549084,51.49067,-0.13341,$98.00 ,0,0,0,0
13598500,51.52267,-0.04333,$35.00 ,0,0,0,0
13599722,51.51723,-0.20312,$150.00 ,0,0,0,0
13600948,51.5366,-0.02909,$17.00 ,0,0,0,0
13550977,51.48627,-0.19669,$400.00 ,0,0,0,0
13551837,51.49195,-0.02056,$35.00 ,0,0,0,0
13634035,51.52408,-0.12365,$190.00 ,0,3,3,3
13634335,51.53601,-0.16628,$40.00 ,0,0,0,0
13601242,51.55297,-0.09009,$75.00 ,0,0,0,18
13552316,51.60695,0.05845,$24.00 ,0,0,0,0
13601289,51.57088,-0.00069,$100.00 ,0,0,0,0
13554539,51.60316,-0.13212,$150.00 ,0,0,0,0
13635739,51.54674,-0.13943,$200.00 ,0,0,0,0
13601559,51.54714,-0.1438,$50.00 ,0,0,0,0
13636303,51.51956,-0.46361,$121.00 ,20,50,80,344
13602152,51.51483,-0.19726,$85.00 ,0,0,0,0
13637685,51.45761,-0.21289,$50.00 ,0,0,0,0
13555338,51.49762,-0.07934,$125.00 ,5,21,23,23
13603144,51.54008,-0.13976,$224.00 ,5,26,26,48
13555608,51.47916,0.02242,$108.00 ,7,24,24,24
13603192,51.5806,-0.03597,$34.00 ,0,0,0,0
13555674,51.42122,-0.10013,$120.00 ,0,0,0,0
13638287,51.53882,-0.10908,$30.00 ,0,0,0,0
13638430,51.48152,-0.18363,$45.00 ,0,0,0,0
13603356,51.42285,-0.21647,$150.00 ,0,0,11,11
13638655,51.52873,-0.02095,$63.00 ,0,0,0,0
13555941,51.55215,-0.05789,$27.00 ,0,0,0,0
13603538,51.51296,-0.30079,$160.00 ,0,0,0,0
13556269,51.56554,-0.05421,$28.00 ,0,0,0,0
13556338,51.51287,-0.03565,$100.00 ,0,0,0,0
13556747,51.52591,-0.07417,$49.00 ,0,0,0,0
13557685,51.58297,-0.07912,$33.00 ,0,0,0,0
